Transaction Date,index yield,Whether stock selection date,Date of selection,Stock Selection Results,Shareholding,buy-in date,position yield,position yield_timing,Strategy Funding Curve,Strategy Funding Curve_timing,index
2008-3-3,0.024855868,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.025909836,0.025909836,1.025909836,1.025909836,1.024855868
2008-3-4,-0.024962741,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.01261261,-0.01261261,1.012970436,1.012970436,0.999272657
2008-3-5,-0.009083416,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.015407588,-0.015407588,0.997363005,0.997363005,0.990195848
2008-3-6,0.01216535,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.007105675,0.007105675,1.004449943,1.004449943,1.002241927
2008-3-7,-0.013519657,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.005607545,-0.005607545,0.998817445,0.998817445,0.98869196
2008-3-10,-0.04113214,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.030250333,-0.030250333,0.968602884,0.968602884,0.948024944
2008-3-11,0.002164009,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.008687918,0.008687918,0.977018027,0.977018027,0.950076478
2008-3-12,-0.029616003,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.014532836,-0.014532836,0.962819184,0.962819184,0.92193901
2008-3-13,-0.02568422,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.035908434,-0.035908434,0.928245855,0.928245855,0.898259726
2008-3-14,-0.009785756,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.015084062,-0.015084062,0.914244138,0.914244138,0.889469575
2008-3-17,-0.046319389,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.087064409,-0.087064409,0.834646012,0.834646012,0.848269887
2008-3-18,-0.050773211,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.066969313,-0.066969313,0.778750342,0.778750342,0.805200501
2008-3-19,0.033185882,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.046840689,0.046840689,0.815227544,0.815227544,0.831921789
2008-3-20,0.029049644,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.037553868,0.037553868,0.845842492,0.845842492,0.856088821
2008-3-21,0.008995884,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.018020711,0.018020711,0.861085175,0.861085175,0.863790097
2008-3-24,-0.044761667,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.008328246,-0.008328246,0.853913846,0.853913846,0.825125413
2008-3-25,0.012620914,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.023928186,0.023928186,0.874346455,0.874346455,0.83553925
2008-3-26,0.002201871,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.004214851,0.004214851,0.878031696,0.878031696,0.837378999
2008-3-27,-0.042267338,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,-0.054971461,-0.054971461,0.829765011,0.829765011,0.801985218
2008-3-28,0.045143668,FALSE,2008-2-29,,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,2008-3-3,0.029970403,0.029970403,0.854633402,0.854633402,0.838189772
