buy-in date,sell-by date,shareholding,stock selection results,date of selection,whether stock selection date,position yield,index yield
2008-3-3,2008-3-31,长征电气(sh600112) 时代新材(sh600458) 威远生化(sh600803) 深天地Ａ(sz000023) 华神集团(sz000790) 中航精机(sz002013) 东信和平(sz002017) 众和股份(sz002070) 天康生物(sz002100) 科陆电子(sz002121) ,浙江富润(sh600070) 新华光(sh600184) 凤竹纺织(sh600493) 洪城股份(sh600566) 深天地Ａ(sz000023) 天兴仪表(sz000710) 中汇医药(sz000809) 中航精机(sz002013) 轴研科技(sz002046) 梅花伞(sz002174) ,2008-2-29,TRUE,-0.175358287,-0.189113391
2008-4-1,2008-4-30,浙江富润(sh600070) 新华光(sh600184) 凤竹纺织(sh600493) 洪城股份(sh600566) 深天地Ａ(sz000023) 天兴仪表(sz000710) 中汇医药(sz000809) 中航精机(sz002013) 轴研科技(sz002046) 梅花伞(sz002174) ,浙江富润(sh600070) 联环药业(sh600513) 宁波富邦(sh600768) 世纪光华(sz000703) 华润锦华(sz000810) 京新药业(sz002020) 江苏宏宝(sz002071) 沧州明珠(sz002108) 莱茵生物(sz002166) 新嘉联(sz002188) ,2008-3-31,TRUE,-0.131908076,0.04447663
2008-5-5,2008-5-30,浙江富润(sh600070) 联环药业(sh600513) 宁波富邦(sh600768) 世纪光华(sz000703) 华润锦华(sz000810) 京新药业(sz002020) 江苏宏宝(sz002071) 沧州明珠(sz002108) 莱茵生物(sz002166) 新嘉联(sz002188) ,宝光股份(sh600379) 凤竹纺织(sh600493) 宁波富邦(sh600768) 博盈投资(sz000760) 华润锦华(sz000810) 京新药业(sz002020) 飞亚股份(sz002042) 晶源电子(sz002049) 得润电子(sz002055) 新嘉联(sz002188) ,2008-4-30,TRUE,-0.025840632,-0.087845279
2008-6-2,2008-6-30,宝光股份(sh600379) 凤竹纺织(sh600493) 宁波富邦(sh600768) 博盈投资(sz000760) 华润锦华(sz000810) 京新药业(sz002020) 飞亚股份(sz002042) 晶源电子(sz002049) 得润电子(sz002055) 新嘉联(sz002188) ,宝光股份(sh600379) 凤竹纺织(sh600493) 联环药业(sh600513) 宁波富邦(sh600768) 武汉塑料(sz000665) 博盈投资(sz000760) 华润锦华(sz000810) 飞亚股份(sz002042) 晶源电子(sz002049) 新嘉联(sz002188) ,2008-5-30,TRUE,-0.226901056,-0.226927475
2008-7-1,2008-7-31,宝光股份(sh600379) 凤竹纺织(sh600493) 联环药业(sh600513) 宁波富邦(sh600768) 武汉塑料(sz000665) 博盈投资(sz000760) 华润锦华(sz000810) 飞亚股份(sz002042) 晶源电子(sz002049) 新嘉联(sz002188) ,旭光股份(sh600353) 凤竹纺织(sh600493) 联环药业(sh600513) 宁波富邦(sh600768) 金德发展(sz000639) 华润锦华(sz000810) 江苏琼花(sz002002) 飞亚股份(sz002042) 晶源电子(sz002049) 新嘉联(sz002188) ,2008-6-30,TRUE,0.080089308,0.004796154
2008-8-1,2008-8-29,旭光股份(sh600353) 凤竹纺织(sh600493) 联环药业(sh600513) 宁波富邦(sh600768) 金德发展(sz000639) 华润锦华(sz000810) 江苏琼花(sz002002) 飞亚股份(sz002042) 晶源电子(sz002049) 新嘉联(sz002188) ,凤竹纺织(sh600493) 联环药业(sh600513) 华阳科技(sh600532) 天目药业(sh600671) 金德发展(sz000639) 华润锦华(sz000810) 京新药业(sz002020) 飞亚股份(sz002042) 广东鸿图(sz002101) 沧州明珠(sz002108) ,2008-7-31,TRUE,-0.140616772,-0.147429248
2008-9-1,2008-9-26,凤竹纺织(sh600493) 联环药业(sh600513) 华阳科技(sh600532) 天目药业(sh600671) 金德发展(sz000639) 华润锦华(sz000810) 京新药业(sz002020) 飞亚股份(sz002042) 广东鸿图(sz002101) 沧州明珠(sz002108) ,凤竹纺织(sh600493) 联环药业(sh600513) 华阳科技(sh600532) 天目药业(sh600671) 宁波富邦(sh600768) 德赛电池(sz000049) 汇源通信(sz000586) 飞亚股份(sz002042) 广东鸿图(sz002101) 特尔佳(sz002213) ,2008-8-29,TRUE,-0.109156966,-0.061873861
2008-10-6,2008-10-31,凤竹纺织(sh600493) 联环药业(sh600513) 华阳科技(sh600532) 天目药业(sh600671) 宁波富邦(sh600768) 德赛电池(sz000049) 汇源通信(sz000586) 飞亚股份(sz002042) 广东鸿图(sz002101) 特尔佳(sz002213) ,浙江富润(sh600070) 联环药业(sh600513) 华阳科技(sh600532) 天目药业(sh600671) 西藏旅游(sh600749) 汇源通信(sz000586) 京新药业(sz002020) 江苏宏宝(sz002071) 德棉股份(sz002072) 广东鸿图(sz002101) ,2008-9-26,TRUE,-0.167752524,-0.258506191
2008-11-3,2008-11-28,浙江富润(sh600070) 联环药业(sh600513) 华阳科技(sh600532) 天目药业(sh600671) 西藏旅游(sh600749) 汇源通信(sz000586) 京新药业(sz002020) 江苏宏宝(sz002071) 德棉股份(sz002072) 广东鸿图(sz002101) ,浙江富润(sh600070) 凤竹纺织(sh600493) 华阳科技(sh600532) 华润锦华(sz000810) 京新药业(sz002020) 飞亚股份(sz002042) 得润电子(sz002055) 江苏宏宝(sz002071) 德棉股份(sz002072) 广东鸿图(sz002101) ,2008-10-31,TRUE,0.266521066,0.099936285
2008-12-1,2008-12-31,浙江富润(sh600070) 凤竹纺织(sh600493) 华阳科技(sh600532) 华润锦华(sz000810) 京新药业(sz002020) 飞亚股份(sz002042) 得润电子(sz002055) 江苏宏宝(sz002071) 德棉股份(sz002072) 广东鸿图(sz002101) ,浙江富润(sh600070) 凤竹纺织(sh600493) 联环药业(sh600513) 西藏旅游(sh600749) 华润锦华(sz000810) 得润电子(sz002055) 江苏宏宝(sz002071) 广东鸿图(sz002101) 湘潭电化(sz002125) 宏达经编(sz002144) ,2008-11-28,TRUE,0.139732226,-0.006666958
